generation,best_fitness,average_fitness,variance_fitness,duration_sec,population_size,steps_per_generation
0,29.31018610151112,28.96083746040454,0.12389383456365109,43.23592185974121,10,424
1,63.74987799212314,36.31779480150298,150.83023648692495,40.639323711395264,10,1391
2,79.74248789630167,53.85443222669025,339.8105676035205,46.5774302482605,10,3474
3,98.4760746732133,76.52485972626202,145.74753726359822,44.042091608047485,10,6048
4,99.00964736494286,81.4020413933181,267.3940044328501,47.631433963775635,10,5765
5,91.10243189150839,72.12447818270857,479.6117503599849,48.359498739242554,10,5501
