generation,best_fitness,average_fitness,variance_fitness,duration_sec,population_size,steps_per_generation
0,28.561831842337526,28.561831842337526,0.0,0.006077766418457031,10,400
1,28.561831842337526,28.561831842337526,0.0,0.0039675235748291016,10,400
2,28.561831842337526,28.561831842337526,0.0,0.003993988037109375,10,400
3,28.561831842337526,28.561831842337526,0.0,0.003518819808959961,10,400
4,28.561831842337526,28.561831842337526,0.0,0.0033235549926757812,10,400
5,28.561831842337526,28.561831842337526,0.0,0.003981590270996094,10,400
