generation,best_fitness,average_fitness,variance_fitness,duration_sec,population_size,steps_per_generation
0,29.31018610151112,29.116536278550313,0.06555935893890048,0.016706228256225586,10,433
1,29.31018610151112,29.12194250052207,0.08268959446228848,0.01555490493774414,10,433
2,29.31018610151112,29.12096244456477,0.08355278554354668,0.016094446182250977,10,432
3,29.31018610151112,28.94410103795568,0.09599295412524891,0.013693094253540039,10,425
4,29.31018610151112,28.92030459933561,0.10251541043116025,0.017711162567138672,10,423
5,29.31018610151112,29.093719895887546,0.0794806328646525,0.014345645904541016,10,432
