generation,best_fitness,average_fitness,variance_fitness,duration_sec,population_size,steps_per_generation
0,29.31018610151112,29.047081077653285,0.10907132522007246,96.79526662826538,20,857
1,29.31018610151112,29.31018610151112,0.0,137.63049626350403,20,880
2,29.31018610151112,29.31018610151112,0.0,187.63459181785583,20,880
3,29.31018610151112,29.31018610151112,0.0,146.68137741088867,20,880
4,29.31018610151112,29.31018610151112,0.0,159.34223771095276,20,880
5,29.31018610151112,29.31018610151112,0.0,254.99734592437744,20,880
6,29.31018610151112,29.31018610151112,0.0,70.25332021713257,20,880
7,29.31018610151112,29.31018610151112,0.0,223.87436723709106,20,880
8,29.31018610151112,29.31018610151112,0.0,354.3754744529724,20,880
9,29.31018610151112,29.31018610151112,0.0,72.02207565307617,20,880
